# Name & JD & V
AW Per & 2458823.351 & 7.1090
AW Per & 2458824.386 & 7.3334
AW Per & 2458824.574 & 7.3814
AW Per & 2458829.275 & 7.3367
AW Per & 2458833.270 & 7.7863
AW Per & 2458855.299 & 7.0531
AW Per & 2458858.349 & 7.6322
AW Per & 2458859.422 & 7.8965
AW Per & 2458860.269 & 7.8425
AW Per & 2458861.262 & 7.2791
